Time,hhmm,VOLUME
2021-04-08 14:10:00,14:10,5798
2021-04-08 14:20:00,14:20,5434
2021-04-08 14:30:00,14:30,8489
2021-04-08 14:40:00,14:40,7875
2021-04-08 14:50:00,14:50,3195
2021-04-08 15:00:00,15:00,3354
2021-04-08 15:10:00,15:10,9669
2021-04-08 15:20:00,15:20,3549
2021-04-08 15:30:00,15:30,4998
2021-04-08 15:40:00,15:40,7092
2021-04-08 15:50:00,15:50,7886
2021-04-08 16:00:00,16:00,17442
2021-04-09 09:40:00,09:40,40150
2021-04-09 09:50:00,09:50,24804
2021-04-09 10:00:00,10:00,20552
2021-04-09 10:10:00,10:10,15068
2021-04-09 10:20:00,10:20,11747
2021-04-09 10:30:00,10:30,13597
2021-04-09 10:40:00,10:40,14818
2021-04-09 10:50:00,10:50,10240
2021-04-09 11:00:00,11:00,5187
2021-04-09 11:10:00,11:10,11652
2021-04-09 11:20:00,11:20,17225
2021-04-09 11:30:00,11:30,4996
2021-04-09 11:40:00,11:40,8268
2021-04-09 11:50:00,11:50,16008
2021-04-09 12:00:00,12:00,26061
2021-04-09 12:10:00,12:10,8262
2021-04-09 12:20:00,12:20,11287
2021-04-09 12:30:00,12:30,9701
2021-04-09 12:40:00,12:40,9709
2021-04-09 12:50:00,12:50,6709
2021-04-09 13:00:00,13:00,11164
2021-04-09 13:10:00,13:10,7279
2021-04-09 13:20:00,13:20,3545
2021-04-09 13:30:00,13:30,7624
2021-04-09 13:40:00,13:40,12323
2021-04-09 13:50:00,13:50,6878
2021-04-09 14:00:00,14:00,10274
2021-04-09 14:10:00,14:10,4783
2021-04-09 14:20:00,14:20,3465
2021-04-09 14:30:00,14:30,4742
2021-04-09 14:40:00,14:40,8031
2021-04-09 14:50:00,14:50,3542
2021-04-09 15:00:00,15:00,6171
2021-04-09 15:10:00,15:10,9025
2021-04-09 15:20:00,15:20,6780
2021-04-09 15:30:00,15:30,10892
2021-04-09 15:40:00,15:40,22411
2021-04-09 15:50:00,15:50,11046
2021-04-09 16:00:00,16:00,25198
2021-04-12 09:40:00,09:40,9243
2021-04-12 09:50:00,09:50,7267
2021-04-12 10:00:00,10:00,10161
2021-04-12 10:10:00,10:10,6501
2021-04-12 10:20:00,10:20,4056
2021-04-12 10:30:00,10:30,6043
2021-04-12 10:40:00,10:40,8363
2021-04-12 10:50:00,10:50,13263
2021-04-12 11:00:00,11:00,4858
2021-04-12 11:10:00,11:10,4231
2021-04-12 11:20:00,11:20,24538
2021-04-12 11:30:00,11:30,23382
2021-04-12 11:40:00,11:40,2630
2021-04-12 11:50:00,11:50,10012
2021-04-12 12:00:00,12:00,2225
2021-04-12 12:10:00,12:10,2688
2021-04-12 12:20:00,12:20,2644
2021-04-12 12:30:00,12:30,1833
2021-04-12 12:40:00,12:40,9485
2021-04-12 12:50:00,12:50,131307
2021-04-12 13:00:00,13:00,3163
2021-04-12 13:10:00,13:10,8923
2021-04-12 13:20:00,13:20,7868
2021-04-12 13:30:00,13:30,3469
2021-04-12 13:40:00,13:40,2346
2021-04-12 13:50:00,13:50,3711
2021-04-12 14:00:00,14:00,3149
2021-04-12 14:10:00,14:10,3350
2021-04-12 14:20:00,14:20,1994
2021-04-12 14:30:00,14:30,2142
2021-04-12 14:40:00,14:40,1291
2021-04-12 14:50:00,14:50,2347
2021-04-12 15:00:00,15:00,1352
2021-04-12 15:10:00,15:10,2810
2021-04-12 15:20:00,15:20,2460
2021-04-12 15:30:00,15:30,5357
2021-04-12 15:40:00,15:40,4907
2021-04-12 15:50:00,15:50,13558
2021-04-12 16:00:00,16:00,8093
2021-04-13 09:40:00,09:40,24299
2021-04-13 09:50:00,09:50,21687
2021-04-13 10:00:00,10:00,13024
2021-04-13 10:10:00,10:10,9225
2021-04-13 10:20:00,10:20,9268
2021-04-13 10:30:00,10:30,11552
2021-04-13 10:40:00,10:40,7002
2021-04-13 10:50:00,10:50,9029
2021-04-13 11:00:00,11:00,3317
2021-04-13 11:10:00,11:10,7986
2021-04-13 11:20:00,11:20,4671
2021-04-13 11:30:00,11:30,8520
2021-04-13 11:40:00,11:40,9434
2021-04-13 11:50:00,11:50,2485
2021-04-13 12:00:00,12:00,3593
2021-04-13 12:10:00,12:10,9105
2021-04-13 12:20:00,12:20,15288
2021-04-13 12:30:00,12:30,4268
2021-04-13 12:40:00,12:40,10559
2021-04-13 12:50:00,12:50,2925
2021-04-13 13:00:00,13:00,2567
2021-04-13 13:10:00,13:10,5322
2021-04-13 13:20:00,13:20,5164
2021-04-13 13:30:00,13:30,31554
2021-04-13 13:40:00,13:40,3736
2021-04-13 13:50:00,13:50,4134
2021-04-13 14:00:00,14:00,3567
2021-04-13 14:10:00,14:10,3602
2021-04-13 14:20:00,14:20,3592
2021-04-13 14:30:00,14:30,3120
2021-04-13 14:40:00,14:40,7795
2021-04-13 14:50:00,14:50,5158
2021-04-13 15:00:00,15:00,4160
2021-04-13 15:10:00,15:10,8196
2021-04-13 15:20:00,15:20,15086
2021-04-13 15:30:00,15:30,7275
2021-04-13 15:40:00,15:40,12881
2021-04-13 15:50:00,15:50,7346
2021-04-13 16:00:00,16:00,8990
2021-04-14 09:40:00,09:40,12487
2021-04-14 09:50:00,09:50,9901
2021-04-14 10:00:00,10:00,11792
2021-04-14 10:10:00,10:10,7415
2021-04-14 10:20:00,10:20,7281
2021-04-14 10:30:00,10:30,19759
2021-04-14 10:40:00,10:40,10992
2021-04-14 10:50:00,10:50,7902
2021-04-14 11:00:00,11:00,19411
2021-04-14 11:10:00,11:10,43289
2021-04-14 11:20:00,11:20,10822
2021-04-14 11:30:00,11:30,99433
2021-04-14 11:40:00,11:40,13798
2021-04-14 11:50:00,11:50,6462
2021-04-14 12:00:00,12:00,6852
2021-04-14 12:10:00,12:10,7880
2021-04-14 12:20:00,12:20,8352
2021-04-14 12:30:00,12:30,4803
2021-04-14 12:40:00,12:40,3374
2021-04-14 12:50:00,12:50,6746
2021-04-14 13:00:00,13:00,1878
2021-04-14 13:10:00,13:10,5915
2021-04-14 13:20:00,13:20,4967
2021-04-14 13:30:00,13:30,1992
2021-04-14 13:40:00,13:40,13880
2021-04-14 13:50:00,13:50,36056
2021-04-14 14:00:00,14:00,11279
2021-04-14 14:10:00,14:10,25685
2021-04-14 14:20:00,14:20,30156
2021-04-14 14:30:00,14:30,19157
2021-04-14 14:40:00,14:40,8967
2021-04-14 14:50:00,14:50,9938
2021-04-14 15:00:00,15:00,9430
2021-04-14 15:10:00,15:10,17755
2021-04-14 15:20:00,15:20,13489
2021-04-14 15:30:00,15:30,4783
2021-04-14 15:40:00,15:40,14238
2021-04-14 15:50:00,15:50,21402
2021-04-14 16:00:00,16:00,17878
2021-04-15 09:40:00,09:40,32297
2021-04-15 09:50:00,09:50,24748
2021-04-15 10:00:00,10:00,16952
2021-04-15 10:10:00,10:10,22554
2021-04-15 10:20:00,10:20,17569
2021-04-15 10:30:00,10:30,10067
2021-04-15 10:40:00,10:40,14321
2021-04-15 10:50:00,10:50,11554
2021-04-15 11:00:00,11:00,6358
2021-04-15 11:10:00,11:10,11808
2021-04-15 11:20:00,11:20,7912
2021-04-15 11:30:00,11:30,8236
2021-04-15 11:40:00,11:40,8902
2021-04-15 11:50:00,11:50,7840
2021-04-15 12:00:00,12:00,18645
2021-04-15 12:10:00,12:10,7289
2021-04-15 12:20:00,12:20,29534
2021-04-15 12:30:00,12:30,7032
2021-04-15 12:40:00,12:40,8578
2021-04-15 12:50:00,12:50,10210
