Time,hhmm,VOLUME
2021-04-14 12:30:00,12:30,466725
2021-04-14 12:40:00,12:40,348105
2021-04-14 12:50:00,12:50,458150
2021-04-14 13:00:00,13:00,255921
2021-04-14 13:10:00,13:10,457324
2021-04-14 13:20:00,13:20,333108
2021-04-14 13:30:00,13:30,260453
2021-04-14 13:40:00,13:40,653338
2021-04-14 13:50:00,13:50,387627
2021-04-14 14:00:00,14:00,838826
2021-04-14 14:10:00,14:10,1436671
2021-04-14 14:20:00,14:20,1890360
2021-04-14 14:30:00,14:30,927472
2021-04-14 14:40:00,14:40,966403
2021-04-14 14:50:00,14:50,597566
2021-04-14 15:00:00,15:00,1239607
2021-04-14 15:10:00,15:10,1837660
2021-04-14 15:20:00,15:20,1561466
2021-04-14 15:30:00,15:30,923913
2021-04-14 15:40:00,15:40,1395897
2021-04-14 15:50:00,15:50,1283070
2021-04-14 16:00:00,16:00,4187982
2021-04-15 09:40:00,09:40,1927530
2021-04-15 09:50:00,09:50,1384762
2021-04-15 10:00:00,10:00,1257374
2021-04-15 10:10:00,10:10,1335298
2021-04-15 10:20:00,10:20,1778784
2021-04-15 10:30:00,10:30,855524
2021-04-15 10:40:00,10:40,985372
2021-04-15 10:50:00,10:50,893904
2021-04-15 11:00:00,11:00,628024
2021-04-15 11:10:00,11:10,1011596
2021-04-15 11:20:00,11:20,865439
2021-04-15 11:30:00,11:30,707190
2021-04-15 11:40:00,11:40,755533
2021-04-15 11:50:00,11:50,523744
2021-04-15 12:00:00,12:00,523367
2021-04-15 12:10:00,12:10,523982
2021-04-15 12:20:00,12:20,374005
2021-04-15 12:30:00,12:30,360089
2021-04-15 12:40:00,12:40,449879
2021-04-15 12:50:00,12:50,481436
2021-04-15 13:00:00,13:00,362665
2021-04-15 13:10:00,13:10,600279
2021-04-15 13:20:00,13:20,481961
2021-04-15 13:30:00,13:30,445141
2021-04-15 13:40:00,13:40,902160
2021-04-15 13:50:00,13:50,380290
2021-04-15 14:00:00,14:00,401685
2021-04-15 14:10:00,14:10,826342
2021-04-15 14:20:00,14:20,491685
2021-04-15 14:30:00,14:30,279738
2021-04-15 14:40:00,14:40,457463
2021-04-15 14:50:00,14:50,633152
2021-04-15 15:00:00,15:00,356408
2021-04-15 15:10:00,15:10,463144
2021-04-15 15:20:00,15:20,1474940
2021-04-15 15:30:00,15:30,975654
2021-04-15 15:40:00,15:40,2134536
2021-04-15 15:50:00,15:50,1584551
2021-04-15 16:00:00,16:00,2856638
2021-04-16 09:40:00,09:40,2015904
2021-04-16 09:50:00,09:50,1159103
2021-04-16 10:00:00,10:00,1131583
2021-04-16 10:10:00,10:10,2004312
2021-04-16 10:20:00,10:20,1853924
2021-04-16 10:30:00,10:30,2528150
2021-04-16 10:40:00,10:40,913846
2021-04-16 10:50:00,10:50,1337237
2021-04-16 11:00:00,11:00,1074373
2021-04-16 11:10:00,11:10,754509
2021-04-16 11:20:00,11:20,606768
2021-04-16 11:30:00,11:30,1357179
2021-04-16 11:40:00,11:40,1095903
2021-04-16 11:50:00,11:50,487525
2021-04-16 12:00:00,12:00,753665
2021-04-16 12:10:00,12:10,477931
2021-04-16 12:20:00,12:20,508687
2021-04-16 12:30:00,12:30,904369
2021-04-16 12:40:00,12:40,599453
2021-04-16 12:50:00,12:50,432689
2021-04-16 13:00:00,13:00,439077
2021-04-16 13:10:00,13:10,371097
