Time,hhmm,VOLUME
2021-04-13 10:10:00,10:10,13835
2021-04-13 10:20:00,10:20,13852
2021-04-13 10:30:00,10:30,16320
2021-04-13 10:40:00,10:40,11686
2021-04-13 10:50:00,10:50,9142
2021-04-13 11:00:00,11:00,8941
2021-04-13 11:10:00,11:10,9649
2021-04-13 11:20:00,11:20,11410
2021-04-13 11:30:00,11:30,9728
2021-04-13 11:40:00,11:40,14894
2021-04-13 11:50:00,11:50,7725
2021-04-13 12:00:00,12:00,7317
2021-04-13 12:10:00,12:10,7286
2021-04-13 12:20:00,12:20,7321
2021-04-13 12:30:00,12:30,4726
2021-04-13 12:40:00,12:40,5269
2021-04-13 12:50:00,12:50,5209
2021-04-13 13:00:00,13:00,6028
2021-04-13 13:10:00,13:10,9081
2021-04-13 13:20:00,13:20,5647
2021-04-13 13:30:00,13:30,3209
2021-04-13 13:40:00,13:40,5260
2021-04-13 13:50:00,13:50,4494
2021-04-13 14:00:00,14:00,4203
2021-04-13 14:10:00,14:10,6346
2021-04-13 14:20:00,14:20,6385
2021-04-13 14:30:00,14:30,5149
2021-04-13 14:40:00,14:40,8755
2021-04-13 14:50:00,14:50,5668
2021-04-13 15:00:00,15:00,6916
2021-04-13 15:10:00,15:10,9204
2021-04-13 15:20:00,15:20,10816
2021-04-13 15:30:00,15:30,8583
2021-04-13 15:40:00,15:40,10637
2021-04-13 15:50:00,15:50,9980
2021-04-13 16:00:00,16:00,18910
2021-04-14 09:40:00,09:40,35801
2021-04-14 09:50:00,09:50,21974
2021-04-14 10:00:00,10:00,19095
2021-04-14 10:10:00,10:10,18649
2021-04-14 10:20:00,10:20,12923
2021-04-14 10:30:00,10:30,19276
2021-04-14 10:40:00,10:40,16579
2021-04-14 10:50:00,10:50,15677
2021-04-14 11:00:00,11:00,14804
2021-04-14 11:10:00,11:10,17212
2021-04-14 11:20:00,11:20,15607
2021-04-14 11:30:00,11:30,18996
2021-04-14 11:40:00,11:40,11558
2021-04-14 11:50:00,11:50,9039
2021-04-14 12:00:00,12:00,7514
2021-04-14 12:10:00,12:10,14947
2021-04-14 12:20:00,12:20,11012
2021-04-14 12:30:00,12:30,9685
2021-04-14 12:40:00,12:40,8427
2021-04-14 12:50:00,12:50,7135
2021-04-14 13:00:00,13:00,5031
2021-04-14 13:10:00,13:10,8277
2021-04-14 13:20:00,13:20,6241
2021-04-14 13:30:00,13:30,5800
2021-04-14 13:40:00,13:40,13068
2021-04-14 13:50:00,13:50,6854
2021-04-14 14:00:00,14:00,14216
2021-04-14 14:10:00,14:10,26788
2021-04-14 14:20:00,14:20,18670
2021-04-14 14:30:00,14:30,13017
2021-04-14 14:40:00,14:40,11855
2021-04-14 14:50:00,14:50,11153
2021-04-14 15:00:00,15:00,15164
2021-04-14 15:10:00,15:10,19602
2021-04-14 15:20:00,15:20,16212
2021-04-14 15:30:00,15:30,11870
2021-04-14 15:40:00,15:40,18034
2021-04-14 15:50:00,15:50,14178
2021-04-14 16:00:00,16:00,29752
2021-04-15 09:40:00,09:40,29762
2021-04-15 09:50:00,09:50,18863
2021-04-15 10:00:00,10:00,15769
2021-04-15 10:10:00,10:10,19432
2021-04-15 10:20:00,10:20,17926
2021-04-15 10:30:00,10:30,13182
2021-04-15 10:40:00,10:40,14803
2021-04-15 10:50:00,10:50,10725
2021-04-15 11:00:00,11:00,9794
2021-04-15 11:10:00,11:10,13515
2021-04-15 11:20:00,11:20,8854
2021-04-15 11:30:00,11:30,10705
2021-04-15 11:40:00,11:40,9090
2021-04-15 11:50:00,11:50,8625
2021-04-15 12:00:00,12:00,8293
2021-04-15 12:10:00,12:10,11317
2021-04-15 12:20:00,12:20,6803
2021-04-15 12:30:00,12:30,7590
2021-04-15 12:40:00,12:40,7821
2021-04-15 12:50:00,12:50,7447
2021-04-15 13:00:00,13:00,5733
2021-04-15 13:10:00,13:10,9995
2021-04-15 13:20:00,13:20,7421
2021-04-15 13:30:00,13:30,7570
2021-04-15 13:40:00,13:40,8326
2021-04-15 13:50:00,13:50,4733
2021-04-15 14:00:00,14:00,5436
2021-04-15 14:10:00,14:10,7996
2021-04-15 14:20:00,14:20,6693
2021-04-15 14:30:00,14:30,4143
2021-04-15 14:40:00,14:40,7317
2021-04-15 14:50:00,14:50,7587
2021-04-15 15:00:00,15:00,5843
2021-04-15 15:10:00,15:10,6619
2021-04-15 15:20:00,15:20,9852
2021-04-15 15:30:00,15:30,8937
2021-04-15 15:40:00,15:40,12640
2021-04-15 15:50:00,15:50,13592
2021-04-15 16:00:00,16:00,25864
2021-04-16 09:40:00,09:40,36370
2021-04-16 09:50:00,09:50,23281
2021-04-16 10:00:00,10:00,19670
2021-04-16 10:10:00,10:10,20871
2021-04-16 10:20:00,10:20,15209
2021-04-16 10:30:00,10:30,14085
2021-04-16 10:40:00,10:40,15203
2021-04-16 10:50:00,10:50,13927
2021-04-16 11:00:00,11:00,8447
2021-04-16 11:10:00,11:10,12592
2021-04-16 11:20:00,11:20,10419
2021-04-16 11:30:00,11:30,10425
2021-04-16 11:40:00,11:40,9903
2021-04-16 11:50:00,11:50,8143
2021-04-16 12:00:00,12:00,7694
2021-04-16 12:10:00,12:10,10770
2021-04-16 12:20:00,12:20,7671
2021-04-16 12:30:00,12:30,7279
2021-04-16 12:40:00,12:40,5435
2021-04-16 12:50:00,12:50,5408
2021-04-16 13:00:00,13:00,6699
2021-04-16 13:10:00,13:10,5296
2021-04-16 13:20:00,13:20,4889
2021-04-16 13:30:00,13:30,5163
2021-04-16 13:40:00,13:40,4493
2021-04-16 13:50:00,13:50,5592
2021-04-16 14:00:00,14:00,4813
2021-04-16 14:10:00,14:10,7620
2021-04-16 14:20:00,14:20,5323
2021-04-16 14:30:00,14:30,4531
2021-04-16 14:40:00,14:40,4573
2021-04-16 14:50:00,14:50,4585
2021-04-16 15:00:00,15:00,4058
2021-04-16 15:10:00,15:10,5728
2021-04-16 15:20:00,15:20,4983
2021-04-16 15:30:00,15:30,5811
2021-04-16 15:40:00,15:40,7359
2021-04-16 15:50:00,15:50,11053
2021-04-16 16:00:00,16:00,19642
2021-04-19 09:40:00,09:40,30635
2021-04-19 09:50:00,09:50,18689
2021-04-19 10:00:00,10:00,13032
2021-04-19 10:10:00,10:10,29207
